"doi";"is.referenced.by.count"
"10.1038/nbt.3626";"138"
"10.1038/nn.4385";"183"
"10.1111/bdi.13208";"5"
"10.3389/fdgth.2022.920706";"1"
"10.1371/journal.pone.0094089";"30"
"10.1016/j.jad.2022.06.074";"1"
"10.3389/fpsyt.2022.966439";"2"
"10.1111/mmi.2013.88.issue-4";"3"
"10.1146/annurev-neuro-062012-170304";"103"
"10.1038/nn.3752";"391"
"10.1093/nar/gkac264";"2"
"10.1016/j.celrep.2021.110034";"12"
"10.1093/ofid/ofz317";"8"
"10.3389/fonc.2020.00588";"1"
"10.3390/cells10082165";"3"
"10.1016/j.yhbeh.2014.08.008";"38"
"10.1016/j.redox.2020.101687";"35"
"10.1016/j.rbmo.2017.12.005";"110"
"10.1038/s41598-021-90284-6";"10"
"10.1016/j.ajpath.2015.08.010";"34"
"10.1111/imr.12839";"74"
"10.1007/s40262-019-00821-w";"6"
"10.1038/s41598-020-60709-9";"23"
"10.1038/mi.2014.57";"80"
"10.1016/j.immuni.2018.12.020";"112"
"10.1038/mi.2017.2";"74"
"10.4414/smw.2016.14350";"8"
"10.1016/j.coi.2016.04.005";"107"
"10.4049/jimmunol.1600808";"109"
"10.1016/j.celrep.2019.12.088";"32"
"10.1091/mbc.e15-03-0168";"44"
"10.4414/smw.2019.20017";"1"
"10.1016/j.pbi.2018.01.001";"32"
"10.1111/nph.18321";"10"
"10.3897/phytokeys.205.82220";"3"
"10.1126/sciadv.ade4954";"1"
"10.3897/phytokeys.205.82256";"1"
"10.1371/journal.pgen.1008970";"9"
"10.1007/s11248-019-00168-9";"17"
"10.1016/j.mimet.2016.10.005";"5"
"10.1128/genomea.01440-14";"8"
"10.1136/bmjopen-2017-019003";"20"
"10.1158/0008-5472.can-22-0162";"4"
"10.1021/acs.jmedchem.9b00858";"6"
"10.1128/jcm.00623-15";"41"
"10.1016/j.meegid.2015.08.015";"2"
"10.1111/cmi.13271";"3"
"10.1111/mmi.2016.102.issue-5";"0"
"10.1038/s41598-017-15781-z";"36"
"10.1016/j.palaeo.2020.109728";"15"
"10.1002/ar.24402";"7"
"10.5735/086.056.0108";"4"
"10.1681/asn.2016070726";"50"
"10.1172/jci67562";"58"
"10.1083/jcb.201304101";"14"
"10.1083/jcb.202002144";"23"
"10.1016/j.bbamcr.2017.06.014";"4"
"10.1038/s41467-019-09253-3";"328"
"10.1016/j.molcel.2019.12.007";"50"
"10.1007/978-1-4939-2330-4_3";"4"
"10.1038/nature14656";"621"
"10.1371/journal.pone.0082505";"59"
"10.1038/jcbfm.2013.142";"71"
"10.1073/pnas.1322912111";"295"
"10.1089/thy.2018.0480";"9"
"10.1089/thy.2018.0018";"24"
"10.1111/acel.12845";"45"
"10.1007/978-1-4939-3756-1";"0"
"10.1186/s13071-015-1032-x";"41"
"10.1515/jpm-2019-0391";"6"
"10.1093/ajcn/nqac272";"1"
"10.3390/ijms23137262";"3"
"10.1038/s41467-018-04128-5";"91"
"10.1002/hep4.1365";"19"
"10.1038/s41523-017-0048-0";"48"
"10.1038/nature26140";"114"
"10.1038/s41467-019-13591-7";"25"
"10.1016/j.celrep.2018.07.001";"241"
"10.3389/fmed.2019.00166";"7"
"10.18632/oncotarget.v9i29";"3"
"10.1016/j.cell.2014.07.044";"176"
"10.15252/msb.20145112";"36"
"10.1007/s10021-016-9982-1";"67"
"10.1890/14-1462.1";"36"
"10.1002/eap.1388";"22"
"10.1101/2020.03.16.20036806";"2"
"10.1002/ima.22617";"1"
"10.1016/j.molcel.2013.12.011";"243"
"10.1101/2023.01.18.524571";"0"
"10.1186/s12874-021-01244-7";"6"
"10.1093/cid/ciy304";"3"
"10.4269/ajtmh.17-0065";"13"
"10.1002/jia2.25202";"24"
"10.3168/jds.2015-9440";"34"
"10.1007/978-1-4939-8760-3_16";"0"
"10.1371/journal.pone.0068123";"5"
"10.1097/mol.0b013e32835c7b49";"0"
"10.1111/evo.13860";"10"
"10.1111/jeb.2018.31.issue-3";"0"
"10.1371/journal.ppat.1007473";"12"
"10.3389/fmicb.2018.03286";"20"
"10.1002/anie.201800746";"49"
"10.1016/j.pep.2017.04.011";"3"
"10.3791/59087";"10"
"10.1126/science.aat0094";"243"
"10.3390/molecules25204633";"2"
"10.1063/1.5126921";"14"
"10.14814/phy2.12418";"28"
"10.1111/emi4.v12.2";"0"
"10.1016/j.scr.2019.101390";"9"
"10.7554/elife.68274";"9"
"10.1007/s00213-016-4521-5";"9"
"10.1016/j.bbr.2016.10.006";"13"
"10.1021/acs.jmedchem.9b01087";"12"
"10.3390/cancers14133074";"0"
"10.1080/17474124.2018.1474097";"12"
"10.1111/febs.2018.285.issue-21";"0"
"10.1371/journal.pntd.0009498";"1"
"10.1016/j.ydbio.2016.07.018";"7"
"10.1136/jitc-2021-003465";"4"
"10.1016/j.ajhg.2015.04.002";"47"
"10.1001/jamapsychiatry.2015.2123";"163"
"10.4049/jimmunol.1801107";"13"
"10.1016/j.celrep.2018.07.048";"47"
"10.15252/emmm.202012391";"5"
"10.1016/j.neo.2020.10.006";"8"
"10.1016/j.cell.2019.06.007";"156"
"10.1038/s41379-021-00788-9";"6"
"10.1021/acs.jproteome.0c00923";"5"
"10.1016/j.semcdb.2016.09.010";"19"
"10.1136/bmjopen-2018-023632";"6"
"10.1002/path.v250.1";"0"
"10.1161/atvbaha.113.301710";"33"
"10.1007/s10096-020-03884-x";"13"
"10.1093/eurpub/ckaa176";"1"
"10.1371/journal.pone.0244336";"4"
"10.1001/jamanetworkopen.2021.3220";"1"
"10.1556/2006.2021.00035";"2"
"10.1080/02791072.2019.1571258";"3"
"10.3390/ijerph182111158";"2"
"10.1556/2006.8.2019.69";"15"
"10.3390/ijerph17228299";"4"
"10.3390/ijms22073740";"4"
"10.1016/j.celrep.2022.110602";"3"
"10.1093/nar/gkac1116";"2"
"10.1016/j.molcel.2019.10.026";"77"
"10.2807/1560-7917.es.2022.27.44.2101144";"0"
"10.1126/sciimmunol.aaz4371";"50"
"10.1016/j.foreco.2014.10.036";"22"
"10.1371/journal.pone.0123300";"16"
"10.1128/aem.03038-18";"23"
"10.4414/smw.2020.20197";"0"
"10.1186/s12862-017-1109-6";"8"
"10.1111/mec.13712";"49"
"10.3389/fimmu.2019.00720";"52"
"10.1158/0008-5472.can-17-2549";"25"
"10.1126/sciadv.abc3465";"83"
"10.1016/j.phymed.2019.152860";"15"
"10.1016/j.ijantimicag.2020.106100";"4"
"10.1089/ars.2016.6685";"38"
"10.1093/cvr/cvt095";"32"
"10.1093/eurheartj/ehu353";"299"
"10.1093/eurheartj/ehu353";"299"
"10.1007/s00018-015-1959-2";"30"
"10.1161/circinterventions.118.007744";"5"
"10.1136/bmjopen-2015-010145";"21"
"10.1016/j.ypmed.2014.11.031";"32"
"10.1016/j.envres.2014.02.002";"38"
"10.1111/epi.17546";"1"
"10.1111/mec.15197";"57"
"10.1111/imr.2018.281.issue-1";"5"
"10.1016/j.jbspin.2017.06.005";"4"
"10.1371/journal.pone.0101115";"30"
"10.1038/nplants.2015.206";"224"
"10.1111/1365-2435.12523";"33"
"10.1016/j.bandl.2020.104775";"12"
"10.1038/nrrheum.2017.155";"259"
"10.4414/smw.2014.13977";"5"
"10.7554/elife.55853";"21"
"10.1016/j.jcf.2019.10.020";"25"
"10.1038/s41592-018-0071-6";"59"
"10.1016/j.immuni.2017.10.015";"103"
"10.1016/j.diabres.2019.03.009";"9"
"10.3389/fpsyg.2016.00915";"33"
"10.1111/ele.12507";"108"
"10.1002/jez.1900";"3"
"10.1016/j.tree.2014.12.003";"83"
"10.1093/jcde/qwac008";"4"
"10.1007/s00259-022-06053-8";"0"
"10.3390/app10144753";"29"
"10.1007/s00259-020-05167-1";"61"
"10.1002/mp.14418";"48"
"10.1007/s10278-021-00500-y";"33"
"10.1016/j.clon.2021.11.014";"13"
"10.1007/s00330-017-4999-1";"44"
"10.1007/s00330-019-06296-4";"13"
"10.1007/s00259-021-05614-7";"9"
"10.1016/j.chom.2020.04.001";"35"
"10.3390/v12090944";"37"
"10.1093/rheumatology/kew469";"5"
"10.1093/rheumatology/kez045";"15"
"10.1002/mp.15063";"15"
"10.1177/20552076221111941";"2"
"10.1007/s10278-021-00500-y";"33"
"10.1016/j.compbiomed.2021.104665";"33"
"10.1002/mp.15615";"4"
"10.1007/s00330-017-5000-z";"21"
"10.1016/j.ejmp.2018.08.006";"3"
"10.1002/mp.15905";"1"
"10.1016/j.heares.2018.03.022";"15"
"10.1080/14992027.2021.1903586";"2"
"10.1007/s10530-013-0550-8";"189"
"10.1523/jneurosci.3736-16.2017";"28"
"10.1016/j.molcel.2013.03.019";"130"
"10.1101/cshperspect.a012633";"237"
"10.1093/nar/gku419";"16"
"10.1016/j.cub.2017.07.025";"30"
"10.1016/j.biomaterials.2019.119665";"25"
"10.3390/ijms20184522";"25"
"10.4049/jimmunol.1302246";"55"
"10.1038/s41385-019-0140-x";"32"
"10.1007/s00125-014-3352-3";"16"
"10.1039/c4ib00299g";"22"
"10.1091/mbc.e19-07-0364";"14"
"10.1371/journal.pgen.1008050";"11"
"10.1111/febs.12875";"30"
"10.1093/glycob/cww113";"9"
"10.1038/nchembio.2393";"87"
"10.1016/s2352-4642(19)30003-3";"31"
"10.1017/ice.2021.117";"12"
"10.1073/pnas.1502029112";"67"
"10.1016/j.drudis.2020.06.026";"19"
"10.1371/journal.pone.0213299";"12"
"10.1016/j.molmet.2019.01.004";"17"
"10.1172/jci.insight.98569";"36"
"10.1155/2017/7058424";"46"
"10.1136/gutjnl-2015-310822";"84"
"10.1186/s13014-016-0745-0";"3"
"10.1016/j.earlhumdev.2020.105200";"11"
"10.1136/archdischild-2017-313574";"27"
"10.1097/sla.0000000000002904";"3"
"10.1093/nar/gkz1043";"50"
"10.1126/sciadv.aap9691";"25"
"10.1126/sciadv.aau5064";"25"
"10.1016/j.molcel.2019.10.026";"77"
"10.1016/j.devcel.2020.05.016";"22"
"10.1016/j.devcel.2016.11.017";"91"
"10.1089/zeb.2020.1862";"2"
"10.1016/j.jacc.2016.07.755";"48"
"10.1038/nbt.4231";"221"
"10.1016/j.copbio.2017.02.004";"97"
"10.1002/ece3.2018.8.issue-3";"0"
"10.1111/evo.2018.72.issue-10";"0"
"10.2196/resprot.7901";"8"
"10.1002/mrm.26871";"20"
"10.1038/s41467-020-17648-w";"47"
"10.1007/s00268-014-2513-3";"194"
"10.1186/s12889-016-2972-6";"29"
"10.1002/mrm.25784";"75"
"10.1016/j.actatropica.2016.05.012";"10"
"10.4269/ajtmh.15-0577";"20"
"10.4102/ojvr.v81i2.726";"18"
"10.1182/bloodadvances.2016003194";"67"
"10.4049/jimmunol.1602006";"23"
"10.1111/1365-2664.13400";"18"
"10.4414/smw.2018.14682";"3"
"10.2217/fvl.13.74";"2"
"10.1212/wnl.0b013e3182896e79";"110"
"10.1111/1365-2745.13521";"20"
"10.1038/s41579-018-0024-1";"1075"
"10.1111/1365-2745.13511";"62"
"10.4081/ejtm.2016.6016";"8"
"10.1073/pnas.1907031116";"65"
"10.1099/jgv.0.001625";"3"
"10.1371/journal.pbio.3001787";"0"
"10.1084/jem.20200303";"8"
"10.1007/s10265-016-0821-4";"3"
"10.1093/cvr/cvy031";"20"
"10.1073/pnas.1911427117";"25"
"10.1016/j.jmb.2016.07.023";"95"
"10.1038/tp.2012.36";"54"
"10.1111/jnc.12933";"35"
"10.1161/atvbaha.113.301710";"33"
"10.1089/ars.2013.5703";"203"
"10.3390/horticulturae8040307";"3"
"10.7717/peerj.7373";"73"
"10.1073/pnas.2024681118";"8"
"10.1038/s41467-019-11388-2";"25"
"10.1371/journal.pbio.3001709";"9"
"10.1007/s00421-017-3675-0";"16"
"10.1016/j.tim.2021.03.001";"29"
"10.1021/acsinfecdis.2c00008";"3"
"10.1371/journal.ppat.1009644";"39"
"10.1038/s41586-019-0955-3";"75"
"10.3390/v13030528";"1"
"10.1016/j.coviro.2021.12.006";"10"
"10.1111/nyas.13391";"16"
"10.1016/j.ijcard.2018.02.096";"15"
"10.3390/horticulturae8040328";"2"
"10.1089/ars.2012.4569";"71"
"10.1016/j.bcp.2013.03.023";"30"
"10.1007/s00018-012-1014-5";"56"
"10.2337/db12-0009";"87"
"10.1016/j.celrep.2022.110549";"2"
"10.1016/j.cub.2016.10.001";"55"
"10.1016/j.cub.2015.03.020";"110"
"10.1111/gcbb.12889";"71"
"10.1128/msphere.00423-20";"7"
"10.1093/cvr/cvy022";"249"
"10.1155/2018/6134787";"10"
"10.1007/s00018-020-03485-z";"16"
"10.1167/tvst.7.1.3";"24"
"10.1002/1873-3468.12742";"71"
"10.1093/jxb/eru008";"61"
"10.1093/mp/ssu045";"89"
"10.1089/ars.2013.5806";"46"
"10.1371/journal.pone.0043566";"3"
"10.1016/j.freeradbiomed.2012.09.002";"115"
"10.1016/j.resuscitation.2020.07.030";"2"
"10.1111/epi.16281";"6"
"10.1002/epi4.12318";"21"
"10.1016/j.clinph.2020.09.018";"9"
"10.1162/netn_a_00147";"14"
"10.1017/s0950268821002053";"7"
"10.1017/s095026882100193x";"3"
"10.1002/jia2.25097";"23"
"10.2174/1874357901307010098";"8"
"10.1128/jvi.00357-17";"8"
"10.4414/smw.2021.20547";"11"
"10.1002/jia2.v22.12";"0"
"10.1002/jia2.25218";"23"
"10.2196/18747";"8"
"10.1371/journal.pone.0224837";"8"
"10.1017/s0950268821001126";"2"
"10.7448/ias.20.1.21947";"26"
"10.1016/j.neuroscience.2014.01.053";"16"
"10.18176/jiaci";"10"
"10.1172/jci89717";"134"
"10.1016/j.pbi.2019.04.002";"14"
"10.1038/s41467-021-21217-0";"11"
"10.1371/journal.pbio.3000704";"64"
"10.1371/journal.ppat.1005164";"47"
"10.1101/297960";"3"
"10.1038/s41586-018-0540-1";"211"
"10.1126/science.1260668";"256"
"10.1098/rstb.2014.0214";"69"
"10.1038/s41522-022-00315-x";"1"
"10.1016/j.coviro.2021.12.003";"15"
"10.1371/journal.pone.0145635";"16"
"10.1024/0040-5930/a000476";"0"
"10.1016/j.ajhg.2016.11.013";"52"
"10.1016/j.jaci.2013.10.052";"5"
"10.1111/cei.12885";"9"
"10.1111/1755-0998.13680";"0"
"10.1016/j.jacep.2020.11.029";"21"
"10.1098/rspb.2017.2824";"6"
"10.1128/jvi.03435-14";"21"
"10.1111/mec.12918";"10"
"10.1111/eva.12351";"16"
"10.1002/biot.201600023";"48"
"10.3390/v8010016";"98"
"10.3389/fpls.2014.00502";"0"
"10.2337/db19-1206";"9"
"10.1080/21623945.2020.1815977";"0"
"10.1038/s41366-019-0444-7";"10"
"10.1002/ppul.24985";"6"
"10.1111/all.2018.73.issue-12";"1"
"10.1016/j.tree.2017.09.004";"98"
"10.1002/cpz1.275";"3"
"10.1016/j.molcel.2022.07.010";"4"
"10.1093/schizbullopen/sgab022";"3"
"10.1038/s41537-020-00133-0";"12"
"10.1016/j.amjmed.2019.01.004";"11"
"10.3390/ijms20153624";"63"
"10.1371/journal.pbio.1001850";"545"
"10.1038/ni.3585";"364"
"10.1056/nejmoa1603825";"260"
"10.1161/circulationaha.117.028753";"117"
"10.1093/ageing/afy072";"56"
"10.1007/s00424-017-2009-8";"5"
"10.4414/smw.2020.20254";"9"
"10.1016/j.molcel.2013.10.036";"45"
"10.1186/1471-2105-13-334";"112"
"10.3389/fphys.2019.00019";"58"
"10.1016/j.jaci.2016.08.042";"19"
"10.1007/s10875-016-0262-9";"0"
"10.1002/ajpa.v169.4";"0"
"10.1126/science.abh3169";"37"
"10.1111/tpj.2019.98.issue-2";"0"
"10.1016/j.cub.2018.06.006";"35"
"10.1111/tpj.14994";"15"
"10.3732/ajb.1500368";"25"
"10.15252/emmm.201810124";"44"
"10.1016/j.molmet.2021.101341";"1"
"10.1080/21623945.2020.1815977";"0"
"10.1113/jp275173";"54"
"10.1038/srep07600";"81"
"10.3389/fpsyg.2016.00915";"33"
"10.1093/beheco/art122";"14"
"10.1073/pnas.1721434116";"139"
"10.1101/2022.11.07.515406";"0"
"10.1659/mrd-journal-d-8-00065.1";"10"
"10.1002/advs.201903697";"7"
"10.1038/s41598-018-27533-8";"8"
"10.1007/s00425-012-1813-9";"44"
"10.1104/pp.113.218644";"63"
"10.3390/vaccines10010133";"5"
"10.1111/all.14724";"23"
"10.3389/fgene.2013.00106";"22"
"10.1016/j.neuroscience.2015.03.002";"47"
"10.1126/sciadv.1602026";"107"
"10.1021/acschemneuro.8b00124";"11"
"10.1093/cercor/bhx078";"18"
"10.1111/ele.12443";"209"
"10.1016/j.neulet.2014.02.028";"13"
"10.1074/jbc.m114.622910";"27"
"10.1038/nsmb.3087";"96"
"10.1007/s12020-015-0633-7";"28"
"10.2967/jnumed.115.157768";"84"
"10.1016/j.jcv.2017.01.008";"22"
"10.1093/pcp/pcx097";"34"
"10.1091/mbc.e22-09-0406";"0"
"10.1083/jcb.202206038";"1"
"10.1016/j.cub.2017.07.011";"49"
"10.1038/ncomms14813";"71"
"10.1002/cjp2.158";"11"
"10.1016/j.eiar.2019.106288";"23"
"10.1016/j.cub.2018.04.046";"173"
"10.1038/s41396-018-0231-9";"39"
"10.3389/fphys.2016.00455";"8"
"10.1111/1462-2920.14355";"23"
"10.1111/eva.12431";"21"
"10.1038/ncb3346";"431"
"10.1093/cid/ciw785";"5"
"10.1371/journal.pntd.0007581";"4"
"10.2147/jpr.s155979";"5"
"10.1016/j.kint.2019.04.009";"42"
"10.1111/wrr.2019.27.issue-4";"0"
"10.1242/jeb.242309";"3"
"10.1016/j.bcp.2014.07.013";"25"
"10.1038/s41467-022-29841-0";"9"
"10.1016/j.vph.2018.11.002";"17"
"10.1016/s0070-2153(21)00040-5";"0"
"10.15252/embj.2018101433";"53"
"10.1016/j.molcel.2018.11.036";"51"
"10.1016/j.molcel.2017.05.006";"63"
"10.1093/molbev/msy051";"90"
"10.1038/s41467-021-23096-x";"0"
"10.1038/s41467-019-13278-z";"49"
"10.1172/jci129012";"17"
"10.1007/s12072-021-10200-y";"11"
"10.1002/hep.30996";"57"
"10.1111/gcb.v27.9";"0"
"10.1098/rspb.2014.0128";"92"
"10.1172/jci61029";"225"
"10.1073/pnas.1616420114";"88"
"10.1007/978-1-4939-6548-9";"3"
"10.1016/j.celrep.2016.04.044";"62"
"10.1007/s12520-014-0221-4";"22"
"10.1159/000366551";"1"
"10.1073/pnas.1211248110";"168"
"10.1111/jcmm.15341";"40"
"10.1016/j.actao.2016.12.004";"20"
"10.1080/14615517.2019.1694783";"17"
"10.1152/jn.00864.2016";"23"
"10.2147/cia";"118"
"10.1007/s00405-021-06998-w";"5"
"10.1089/ars.2012.4720";"204"
"10.1371/journal.pone.0058126";"52"
"10.1002/path.4061";"47"
"10.1042/cs20140635";"64"
"10.1007/s00018-012-1006-5";"18"
"10.1016/j.rhisph.2016.12.006";"22"
"10.1016/j.isci.2021.102872";"24"
"10.1038/s41386-021-01221-0";"5"
"10.1093/eurheartj/ehv140";"56"
"10.1128/jvi.01543-19";"9"
"10.3233/bmr-140495";"7"
"10.1186/s12876-021-01622-x";"7"
"10.1177/17562848211033763";"4"
"10.1024/0040-5930/a000997";"0"
"10.1016/j.chroma.2017.11.071";"3"
"10.1126/sciadv.aaz4012";"13"
"10.1371/journal.pone.0199664";"32"
"10.4414/smw.2018.14599";"12"
"10.1371/journal.pone.0211554";"11"
"10.1016/j.cgh.2018.11.029";"8"
"10.12998/wjcc.v6.i4.44";"6"
"10.1371/journal.pone.0158716";"22"
"10.1016/j.ymeth.2013.10.007";"3"
"10.3390/ijms19082225";"20"
"10.1371/journal.pone.0087146";"29"
"10.1002/acn3.22";"8"
"10.1186/1475-925x-13-104";"4"
"10.3389/fnhum.2013.00248";"41"
"10.1038/s41590-018-0201-4";"269"
"10.1038/s41577-019-0176-x";"122"
"10.4414/smw.2017.14467";"11"
"10.1371/journal.pone.0148348";"8"
"10.1093/cvr/cvx015";"22"
"10.1136/bcr-2017-220301";"1"
"10.1038/nature17971";"189"
"10.1038/nsmb.2995";"119"
"10.1111/mmi.12539";"52"
"10.1186/s12943-018-0781-5";"56"
"10.1016/j.anbehav.2016.10.025";"6"
"10.1007/s00265-014-1864-y";"22"
"10.1007/s00442-016-3738-7";"5"
"10.1038/s41598-018-22142-x";"118"
"10.1038/ncomms11693";"192"
"10.1002/ece3.7490";"1"
"10.1101/2021.03.12.435090";"1"
"10.1093/beheco/araa046";"2"
"10.1016/j.gde.2014.07.007";"33"
"10.1038/ncomms14172";"113"
"10.1016/j.jaip.2018.09.032";"8"
"10.4414/smw.2021.20544";"6"
"10.1016/s0140-6736(20)31304-0";"764"
"10.1093/ofid/ofy092";"5"
"10.3390/genes11040407";"29"
"10.1016/j.mib.2016.01.002";"20"
"10.1007/s00294-016-0587-1";"15"
"10.1021/bc500081g";"38"
"10.1002/art.40508";"110"
"10.1038/s41467-017-02196-7";"40"
"10.1016/j.str.2017.05.018";"31"
"10.1098/rspb.2019.2944";"15"
"10.1038/s41598-021-85583-x";"14"
"10.1016/j.cub.2020.05.069";"21"
"10.3390/jpm10040170";"13"
"10.1371/journal.pone.0143407";"69"
"10.4081/aiol.2017.7207";"6"
"10.1016/j.jhep.2020.08.034";"4"
"10.1126/science.1253425";"409"
"10.1016/j.agee.2017.08.025";"16"
"10.1093/rheumatology/kew300";"109"
"10.1111/cei.12761";"183"
"10.1007/s00264-014-2416-9";"58"
"10.4049/jimmunol.1600855";"12"
"10.1016/j.cub.2020.10.026";"19"
"10.1016/j.chom.2017.07.020";"142"
"10.1371/journal.ppat.1005307";"32"
"10.1016/j.neuroscience.2016.05.029";"41"
"10.1007/s00429-015-1131-7";"32"
"10.1007/s00429-015-1156-y";"15"
"10.1002/emmm.201302794";"3"
"10.1093/bioinformatics/btz325";"5"
"10.1186/s12885-019-5521-8";"11"
"10.1158/0008-5472.can-19-1242";"26"
"10.1158/2326-6066.cir-15-0097";"231"
"10.1128/aem.01018-16";"30"
"10.1126/science.aat0094";"243"
"10.1038/s41467-019-09204-y";"74"
"10.3389/fmicb.2017.00079";"28"
"10.1371/journal.ppat.1005408";"175"
"10.1111/evo.13148";"15"
"10.1038/s41467-019-12798-y";"513"
"10.1073/pnas.1716329114";"16"
"10.1073/pnas.1417573112";"36"
"10.1111/ejn.v50.11";"0"
"10.1024/0040-5930/a000998";"1"
"10.1038/ncomms12649";"37"
"10.1038/ncomms9584";"35"
"10.1093/brain/aww182";"106"
"10.1038/ncomms8452";"29"
