DataSet_Abstract;DataSet_Author;DataSet_PersistentIdentifier_PID;DataSet_PublicationDate;DataSet_RepositoryLink;DataSet_RepositoryName;DataSet_Title;DataSetId;GrantNumber
"In this document the raw data of an online survey (n=255) on the use of (digital) language resources in German-speaking Switzerland is made available to the public.The corresponding codes are described in more detail in the codebook also published on Zenodo (cf. 10.5281/zenodo.4314348). In addition, the website of the project ""Digital Language Resources - Empirical Analyses and Perspectives"" (cf. https://www.ds.uzh.ch/de/projekte/digitale-sprachressourcen) offers a detailed presentation of the results elaborated on the basis of this data. The study complements the Europe-wide survey conducted by the European Network of e-Lexicography (ENeL) and was carried out in close cooperation with the Leibniz-Institute for the German Language (IDS) in Mannheim.";"Adarve, Gerard; Dürscheid, Christa";DOI: 10.5281/zenodo.4316834;2020-12-11T00:00:00Z;https://zenodo.org/record/4316834#.X9N61bNCfV8;Zenodo;German-Swiss survey on the use of (digital) language resources (Rohdaten);F1833464-5A1A-407F-A909-B911B27B5771;183011
This dataset contains the data of our study in the media and sleep lab and is linked to the following publication:Wirz, D.S., Ort, A., Rasch, B., & Fahr, A. (revision submitted). Do Cliffhangers Drive Binge-Watching? An Experiment on Cliffhangers’ Effects on Enjoyment, Arousal, and the Intention to Watch the Next Episode. Media Psychology.;"Fahr, Andreas; Ort, Alexander; Rasch, Björn; Wirz, Dominique Stefanie";10.17605/OSF.IO/XKM3T;2020-11-12T00:00:00Z;https://osf.io/jh86f/;OSF;Cliffhanger Data;6C79B308-D9D8-4916-B8A9-F03B84067664;183181
"";Camerini, Anne-Linda;https://doi.org/10.23662/FORS-DS-1240-1;2021-01-29T00:00:00Z;https://www.swissubase.ch/en/catalogue/studies/13984/16936/datasets/1240/1996/overview;FORSbase;Digital Lives - Social Anxiety, (problematic) Smartphone Use and Dispositional trust (pre-experimental data);DBF55461-7B3C-46C8-8757-EE17D9ED5866;183199
This survey on the use of (digital) language resources in German-speaking Switzerland complements the Europe-wide survey conducted by the European Network of e-Lexicography (ENeL) and was carried out in close cooperation with the Leibniz Institute for the German Language (IDS) in Mannheim. The aim was to obtain information on the use of language resources from the user's perspective.;"Adarve, Gerard; Dürscheid, Christa";DOI: 0.5281/zenodo.4314348;2020-12-10T00:00:00Z;https://zenodo.org/record/4314348#.X9IIIbNCfV9;Zenodo;German-Swiss survey on the use of (digital) language resources (Codebuch);AEBCB2DC-22D6-4E2E-BEA3-04535306DB84;183011
"Two short feature films were recorded with a virtual background by using a green screen in a film studio and previously scanned 3D spaces in a virtual production environment and conventionally (in the corresponding real spaces) to compare the aesthetics and perception of these films. One scene of each film is shown in two variants (real vs. virtual background) to make a comparison.These 2 QuickTime files represents both the ""real"" and ""virtual"" version of the short Film ""Lux"" by Wendy Pillonel. The real version was shot on location using real backgrounds, the virtual version was shot in the studio in front of a green-screen using virtual backgrounds that were added in post production. Running time: 7min18sec. This is the highest quality version available. Virtually Real is a research project by the Zurich University of the Arts, Institute for the Performing Arts and Film and the University of Bern, Institute of Psychology.";"Gerber, Thomas; Iseli, Christian; Loertscher, Miriam; Pillonel, Wendy; Weibel, David";10.5281/zenodo.4432363;2020-11-30T00:00:00Z;https://doi.org/10.5281/zenodo.4432363;Zenodo;"Virtually Real: Short film ""LUX"" by Wendy Pillonel, versions with real and virtual backgrounds, 7min18sec, swiss-german, ProRes 3996 × 2160";BF2EC234-FFBF-4AD4-8BAE-9C9857CAFCAD;183246
"Two short feature films were recorded with a virtual background by using a green screen in a film studio and previously scanned 3D spaces in a virtual production environment and conventionally (in the corresponding real spaces) to compare the aesthetics and perception of these films. One scene of each film is shown in two variants (real vs. virtual background) to make a comparison.These quicktime movie represent the Eye-Tracking Data for Scenes 1,2 and 3 of ""Lux"" (2019) by Wendy Pillonel in beeswarm form for both the real and the virtual version of the film.Virtually Real is a research project by the Zurich University of the Arts, Institute for the Performing Arts and Film and the University of Bern, Institute of Psychology.";"Gerber, Thomas; Iseli, Christian; Loertscher, Miriam; Mahler, Marius; Weibel, David";10.5281/zenodo.4432454;2020-11-30T00:00:00Z;https://doi.org/10.5281/zenodo.4432454;Zenodo (https://zenodo.org);"Virtually Real: Eyetracking data (beeswarm) for the short film ""Lux"" (2019) by Wendy Pillonel";6D769CA6-B02C-486D-A6C3-3840509B6193;183246
The Geoatlas provides the mapping of European screen locations in the Indian film industry through the analysis of geographical data available in the IMDb database. The database was collected at the end of 2019 and covers the period until 2018. The locational data of film shootings are presented vis-à-vis the territorial typologies at regional NUTS 3 level, used by Eurostat. The territorial typologies enable to control for urban-rural, metropolitan, coastal and mountain regions.;Kozina, Jani;https://www.arcgis.com/apps/dashboards/c23c36b1c36c4f638e60b40d8cf5423f;2021-11-23T00:00:00Z;https://www.arcgis.com/apps/dashboards/c23c36b1c36c4f638e60b40d8cf5423f;arcgis;Geoatlas;038847B4-818B-444F-B705-AAAF383E8CD0;180340
"This repository contains information belonging to the manuscript intitled ""Complete genome sequence of an uncultivated freshwater Bacteroidota lineage""1. Bacteroidotes.fasta: Genomic sequence in FASTA format.2. Bacteroidotes_prokka.gbk: Genome annotated by Prokka in Genbank format.3. Bacteroidotes_KO.txt: Proteome annotation with KO numbers in txt format.4. Bacteroidotes_pfam.txt: Proteome annotation with Pfam IDs in txt format";Serra Moncadas, Lucas;10.6084/m9.figshare.20318880;;https://figshare.com/articles/dataset/MRA00480-22_Complete_genome_sequence_of_an_uncultivated_freshwater_Bacteroidota_lineage_/20318880;figshare;Complete genome sequence of an uncultivated freshwater Bacteroidota lineage;FE4B2280-7B70-4A76-BBDD-F0F3CBC6962C;193240
Global temperature field reconstructions from Neukom et al. 2019, Nature, doi: 10.1038/s41586-019-1401-2.;"Gómez-Navarro, Juan José; Neukom, Raphael; Steiger, Nathan; Wang, Jianghao; Werner, Johannes P.";10.1038/s41586-019-1401-2;2019-07-24T00:00:00Z;https://figshare.com/collections/No_evidence_for_globally_coherent_warm_and_cold_periods_over_the_pre-industrial_Common_Era/4498373;Figshare;No evidence for globally coherent warm and cold periods over the preindustrial Common Era;7FC92AF8-4EDB-4104-A464-F9068D7D150E;154802
The code (in MATLAB) used for this analysis will be available upon acceptance on EA EPFL webpage, together with some sample connectomes to run the analyses reported in the manuscript.;"Amico, Enrico; Griffa, Alessandra; Gupta, Anubha; Sareen, Ekansh; Ville, Dimitri Van De; Zahar, Sélima";https://github.com/eamico;2021-10-01T00:00:00Z;https://github.com/eamico;Public Github repository of Enrico Amico;Exploring MEG brain fingerprints: Evaluation, pitfalls, and interpretations;CC620BA1-8725-49FE-A8A7-ED0EC361B299;185716
"The Mathematica notebook can calculate frequencies, dissipation dilution factors and intrinsic loss-limited quality factors of symmetrically-branching out-of-plane flexural modes of stressed binary tree resonators. In addition it can be used for the visualization of modes and for the calculation of boundary and distributed loss coefficients.Throughout the code it is assumed that the tree resonators are composed of high aspect-ratio beams with rectangular cross section, fixed thickness and width which depends of the branching level. Other assumptions of the theoretical model and the definitions of all the parameters can be found in the code comments and in the manuscript""Fractal-like mechanical resonators with soft-clamped fundamental mode"",https://arxiv.org/abs/1912.07439for which this code was developed.";"Beccari, A.; Engelsen, N. J.; Fedorov, S. A.; Kippenberg, T. J.";10.5281/zenodo.3496611;2020-01-16T00:00:00Z;https://doi.org/10.5281/zenodo.3496611;ZENODO;Fractal-like Mechanical Resonators with a Soft-Clamped Fundamental Mode;A221B60D-327A-4D6E-B67E-E834CEA9C5CB;185870
Since the global food crisis of 2008, Senegalese migrant associations have become involved in the agricultural development of their localities of origin, and through their projects they have created a transnational dynamic characterised by the circulation of goods, innovations and skills between the host and the origin areas. In this book, attention is focused on the analysis of a series of associative projects initiated by Senegalese migrants in three European countries, France, Switzerland and Italy. These countries differ in terms of policies aimed at supporting and recognising migrant and diaspora associations in their role as actors of cooperation. The comparison is significant in order to understand whether the factors specific to each host context have an impact on the associative dynamics and on the characteristics of the projects in terms of sustainable agricultural development. Such an analysis is also useful for other host and home countries. It consents to put forward considerations that aim to enrich the current debate on the links between migration and development, which is taking place from the global to the local level among researchers, international organisations, state actors, NGOs, as well as migrant and diaspora associations.;"Maggi, Jenny; Sarr, Dame";10.33058/seismo.20746;2021-12-10T00:00:00Z;https://www.seismoverlag.ch/fr/daten/associations-de-migrants-et-cooperation-internationale/;seismo verlag;Associations de migrants et coopération internationale. Agriculture et développement durable au Sénégal;099DBC51-7328-411A-8925-F09FC69CF13C;205779
Ancient Manuscripts in Digital Culture presents an overview of the digital turn in Ancient Jewish and Christian manuscripts visualisation, data mining and communication. Edited by David Hamidović, Claire Clivaz and Sarah Bowen Savant, it gathers together the contributions of seventeen scholars involved in Biblical, Early Jewish and Christian studies. The volume attests to the spreading of digital humanities in these fields and presents fundamental analysis of the rise of visual culture as well as specific test-cases concerning ancient manuscripts. Sophisticated visualisation tools, stylometric analysis, teaching and visual data, epigraphy and visualisation belong notably to the varied overview presented in the volume.;"Bowen Savant, Sarah; Clivaz, Claire; Hamidovic, David";https://serval.unil.ch/notice/serval:BIB_13B4D7D1746D;;https://serval.unil.ch/notice/serval:BIB_13B4D7D1746D;SERVAL - UNIL;Ancient Manuscripts in Digital Cultures;A1C06FD5-189C-4191-88CE-F105800004C8;186530
In the past fifty years, port cities around the world have experienced considerable changes to their morphologies and their identities. The increasing intensification of global networks and logistics, and the resulting pressure on human societies and earthly environments have been characteristic of the rise of a »planetary age«. This volume argues that contemporary artistic practices and critical poetics trace an alternate construction of the imaginaries and aspirations of our present societies at the crossroads of sea and land - taking into account complex pasts and interconnected histories, transnational flux, as well as material and immaterial borders.;"Gee, Gabriel Neil; Wiedmer, Caroline";https://doi.org/10.14361/9783839450239;2021-05-04T00:00:00Z;https://doi.org/10.14361/9783839450239;Transcript;DOI;B8732E6D-34AE-433C-BA8F-4D23A2E889FE;198044
"";Baumeler, Thomas;10.5281/zenodo.7821991;;https://zenodo.org/record/7821991#.ZDfKyvbP1aQ;Zenodo;JPCL 2020;F2069A3E-E17C-4B5B-947C-BD65BAD82E05;180176
"";Xia, Meng;10.5281/zenodo.7838832.;;https://zenodo.org/record/7838833#.ZD5L_vbP1aR;Zenodo;Chalcopyrite Photocathodes for hydrogen production;4E68D8AF-016A-4DA0-83AC-D2A5B8EE3F8A;180176
"";Gao, JIng;10.5281/zenodo.7821987;;https://zenodo.org/record/7821988#.ZDfLs_bP1aQ;Zenodo;Solar Water Splitting with Perovskite/Silicon Tandem Cell;E4680537-1BCC-4087-947C-AA48872F52FA;180176
"";Baumeler, Thomas;10.5281/zenodo.7822028;;https://zenodo.org/record/7822028#.ZDfLNvbP1aQ;Zenodo;MAI paper AEM;F0331F71-0587-4EA1-9685-98C094CE483C;180176
"";Baumeler, Thomas;" 10.5281/zenodo.7821976 ";;https://doi.org/10.5281/zenodo.7821976;Zenodo;AEM-2021;66070911-AB4A-4A1A-9EE2-02930628E885;180176
"";"Capelli, Riccardo; Leanza, Luigi; Pavan, Giovanni M.; Perego, Claudio; Pesce, Luca";"  10.5281/zenodo.5769788";2021-12-09T00:00:00Z;https://zenodo.org/record/5769788#.ZF4BFY5ByV5;Zenodo;"Computational Data supporting ""Porous covalent organic nanotubes and their assembly in loops and toroids""";777C30F0-2C62-4EBD-90F9-8694B571EC36;183336
"";"Cioni, Matteo; Pavan, Giovanni Maria; Pesce, Luca; Piane, Massimo Delle";"  10.5281/zenodo.7064016";2022-09-09T00:00:00Z;https://zenodo.org/record/7064016#.ZF4MmI5ByV5;Zenodo;"Research data supporting: ""Reconstructing reactivity in dynamic host–guest systems at atomistic resolution: amide hydrolysis under confinement in the cavity of a coordination cage""";539992F0-53D6-4FCA-BA12-32C9F1CF3687;183336
"";"Pavan, Giovanni M.; Perego, Claudio; Pesce, Luca";"  10.5281/zenodo.5807343";2021-12-27T00:00:00Z;https://zenodo.org/record/5807343#.ZF4M4o5ByV4;Zenodo;"Research data supporting: ""Self-assembled poly- catenanes from supramolecular toroidal building blocks""";F1BB932A-F9D6-43E2-966A-346342D12481;183336
"";"Pavan, Giovanni Maria; Pesce, Luca";"  10.5281/zenodo.5025104";2021-07-30T00:00:00Z;https://zenodo.org/record/5025104#.ZF4MRY5ByV5;Zenodo;"Research data supporting: K. Tashiro, K. Katayama, K. Tamaki, L. Pesce, N. Shimizu, H. Takagi, R. Haruki, R. Heenan, M. J. Hollamby, G. M. Pavan, S. Yagai, ""Non-uniform Photoinduced Unfolding of Supramolecular Polymers Leading to Topological Block Nanofibers""";57D6B7A1-D121-4F4D-89A3-9961477EA5A9;183336
"";"Bian, Tong; Chu, Zonglin; Elad, Nadav; Gardin, Andrea; Gemen, Julius; Houben, Lothar; Klajn, Rafal; Lee, Byeongdu; Pavan, Giovanni M.; Perego, Claudio";"  10.5281/zenodo.5763925";2021-09-06T00:00:00Z;https://zenodo.org/record/5763925#.ZF4EJY5ByV5;Zenodo;"Research Data Supporting ""Electrostatic co-assembly of nanoparticles with oppositely charged small molecules into static and dynamic superstructures""";9CE5C8AD-CCE3-4CBF-8B6E-ACCD03DADD59;183336
"";"Afrose, Syed Pavel; Cardellini, Annalisa; Crippa, Martina; Das, Dibyendu; Lionello, Chiara; Pavan, Giovanni Maria";"  10.5281/zenodo.7696708";2023-03-03T00:00:00Z;https://zenodo.org/record/7696708#.ZF4PNY5ByV7;Zenodo;"Research data supporting: ""Unsupervised Data- Driven Reconstruction of Molecular Motifs in Simple to Complex Dynamic Micelles""";C4A854E2-0903-4F13-8237-146151F5654D;183336
"";"Crippa, Martina; Marco, Anna L. de; Pavan, Giovanni M.; Perego, Claudio";10.5281/zenodo.6453179;2022-04-12T00:00:00Z;https://zenodo.org/record/6453179#.ZF4Ato5ByV5;Zenodo;"Research data supporting: ""Molecular communications in complex systems of dynamic supramolecular polymers""";2FA5DA5B-0E00-41BE-B0B5-51F05F079529;183336
